stp20nm.y,stp20cd,midlands_flag,Emot_dis_count_sum,Emot_dis_denom_sum,Emot_dis_value,Cond_dis_count_sum,Cond_dis_denom_sum,Cond_dis_value,hyperkin_dis_count_sum,Hyperkin_dis_denom_sum,Hyperkin_dis_value,self_harm_count_sum,self_harm_denom_sum,self_harm_value
Birmingham and Solihull,E54000017,Midlands,7108.70031752839,184043,3.8625214311483678,11307.28350268396,184043,6.1438269875431075,3060.215738431652,184043,1.6627721447877137,NA,NA,NA
Coventry and Warwickshire,E54000018,Midlands,4386.760197304722,122226,3.5890564996847827,6855.13544036904,122226,5.608573822565608,1853.197822163352,122226,1.5162058990422267,832,174879,47.57575237735806
Herefordshire and Worcestershire,E54000019,Midlands,3439.497686064984,100455,3.42391885527349,5327.42691256785,100455,5.303296911619979,1419.0065011856111,100455,1.4125792655274612,529,124417,42.518305376274945
Joined Up Care Derbyshire,E54000012,Midlands,4975.782671953653,135881,3.661867863758475,7793.891433794431,135881,5.735821368546324,2084.526637171713,135881,1.534082496575469,1018,175877,57.88136026882424
"Leicester, Leicestershire and Rutland",E54000015,Midlands,5353.14537522687,148126,3.613913408332683,8392.09201505142,148126,5.665509103770722,2270.170508387524,148126,1.5325942159968702,475,210090,22.609357894235803
Lincolnshire,E54000013,Midlands,3406.153011640111,93455,3.644698530458628,5307.521893794297,93455,5.679227322020542,1402.221917755112,93455,1.500424715376504,501,129625,38.649951783992286
Northamptonshire,E54000020,Midlands,3675.899488648844,104165,3.5289199718224395,5768.938900391558,104165,5.538269956695202,1569.0645204438079,104165,1.506326040842709,744,127172,58.503444154373604
Nottingham and Nottinghamshire Health and Care,E54000014,Midlands,4955.566437911045,134130,3.6945995958480915,7833.533405480389,134130,5.8402545332739795,2120.309642840741,134130,1.5807870296285256,871,207418,41.992498240268446
Shropshire and Telford and Wrekin,E54000011,Midlands,2369.7119977003968,66064,3.58699442616311,3661.0192208852804,66064,5.541625122434731,966.68153170422,66064,1.4632500782638351,380,82335,46.15291188437482
Staffordshire and Stoke on Trent,E54000010,Midlands,5425.928748484368,148695,3.6490324143275616,8556.101209036662,148695,5.754128389681336,2302.388599369128,148695,1.548396784941745,903,193708,46.61655687942677
The Black Country and West Birmingham,E54000016,Midlands,8245.09327322209,204371,4.034375363051553,13288.75288951051,204371,6.502269348151406,3587.099130392582,204371,1.7551898901471255,1001,266271,37.59327902775744
